,decade,index,rank,catchphrase,count
3076,1970,62,3 - Moderate,zoinks,3.0
2473,1970,62,3 - Moderate,groovy,0.0
4282,1970,62,3 - Moderate,rooby_rooby_roo,0.0
1267,1970,62,3 - Moderate,my_glasses,0.0
61,1970,62,3 - Moderate,jeepers,0.0
1870,1970,62,3 - Moderate,just_about_wrapped_up,0.0
665,1970,63,4 - High,jinkies,3.0
3077,1970,63,4 - High,zoinks,4.0
4283,1970,63,4 - High,rooby_rooby_roo,1.0
2474,1970,63,4 - High,groovy,0.0
62,1970,63,4 - High,jeepers,0.0
3680,1970,63,4 - High,scooby_doo_where_are_you,1.0
1268,1970,63,4 - High,my_glasses,1.0
1871,1970,63,4 - High,just_about_wrapped_up,1.0
3078,1970,64,4 - High,zoinks,7.0
63,1970,64,4 - High,jeepers,0.0
1872,1970,64,4 - High,just_about_wrapped_up,0.0
1269,1970,64,4 - High,my_glasses,0.0
2475,1970,64,4 - High,groovy,0.0
3681,1970,64,4 - High,scooby_doo_where_are_you,0.0
4284,1970,64,4 - High,rooby_rooby_roo,2.0
666,1970,64,4 - High,jinkies,1.0
667,1970,65,4 - High,jinkies,0.0
3079,1970,65,4 - High,zoinks,7.0
3682,1970,65,4 - High,scooby_doo_where_are_you,0.0
1270,1970,65,4 - High,my_glasses,0.0
4285,1970,65,4 - High,rooby_rooby_roo,0.0
2476,1970,65,4 - High,groovy,0.0
1873,1970,65,4 - High,just_about_wrapped_up,0.0
64,1970,65,4 - High,jeepers,0.0
4286,1970,66,4 - High,rooby_rooby_roo,2.0
3683,1970,66,4 - High,scooby_doo_where_are_you,0.0
1874,1970,66,4 - High,just_about_wrapped_up,0.0
65,1970,66,4 - High,jeepers,1.0
3080,1970,66,4 - High,zoinks,8.0
2477,1970,66,4 - High,groovy,0.0
668,1970,66,4 - High,jinkies,0.0
1271,1970,66,4 - High,my_glasses,0.0
3081,1970,67,5 - Very High,zoinks,5.0
1875,1970,67,5 - Very High,just_about_wrapped_up,0.0
669,1970,67,5 - Very High,jinkies,0.0
1272,1970,67,5 - Very High,my_glasses,0.0
4287,1970,67,5 - Very High,rooby_rooby_roo,2.0
