,Unnamed: 0,decade,index,rank,catchphrase,count
228,3646,1970,29,5 - Very High,scooby_doo_where_are_you,0.0
229,631,1970,29,5 - Very High,jinkies,1.0
230,1837,1970,29,5 - Very High,just_about_wrapped_up,0.0
231,2440,1970,29,5 - Very High,groovy,0.0
232,1235,1970,30,5 - Very High,my_glasses,0.0
233,632,1970,30,5 - Very High,jinkies,0.0
234,1838,1970,30,5 - Very High,just_about_wrapped_up,0.0
235,29,1970,30,5 - Very High,jeepers,0.0
236,2441,1970,30,5 - Very High,groovy,0.0
237,3647,1970,30,5 - Very High,scooby_doo_where_are_you,0.0
238,4250,1970,30,5 - Very High,rooby_rooby_roo,0.0
239,3044,1970,30,5 - Very High,zoinks,0.0
240,4251,1970,31,5 - Very High,rooby_rooby_roo,1.0
241,3045,1970,31,5 - Very High,zoinks,1.0
242,3648,1970,31,5 - Very High,scooby_doo_where_are_you,1.0
243,633,1970,31,5 - Very High,jinkies,1.0
244,1839,1970,31,5 - Very High,just_about_wrapped_up,0.0
245,2442,1970,31,5 - Very High,groovy,0.0
246,1236,1970,31,5 - Very High,my_glasses,0.0
247,30,1970,31,5 - Very High,jeepers,0.0
248,3046,1970,32,5 - Very High,zoinks,0.0
249,1237,1970,32,5 - Very High,my_glasses,0.0
250,4252,1970,32,5 - Very High,rooby_rooby_roo,0.0
251,31,1970,32,5 - Very High,jeepers,0.0
252,2443,1970,32,5 - Very High,groovy,0.0
253,1840,1970,32,5 - Very High,just_about_wrapped_up,0.0
254,634,1970,32,5 - Very High,jinkies,1.0
255,3649,1970,32,5 - Very High,scooby_doo_where_are_you,1.0
256,1238,1970,33,6 - Top Tier,my_glasses,0.0
257,2444,1970,33,6 - Top Tier,groovy,0.0
258,1841,1970,33,6 - Top Tier,just_about_wrapped_up,0.0
259,635,1970,33,6 - Top Tier,jinkies,0.0
260,4253,1970,33,6 - Top Tier,rooby_rooby_roo,0.0
261,3650,1970,33,6 - Top Tier,scooby_doo_where_are_you,1.0
262,3047,1970,33,6 - Top Tier,zoinks,1.0
263,32,1970,33,6 - Top Tier,jeepers,0.0
264,2445,1970,34,5 - Very High,groovy,0.0
265,1239,1970,34,5 - Very High,my_glasses,0.0
266,3651,1970,34,5 - Very High,scooby_doo_where_are_you,0.0
267,3048,1970,34,5 - Very High,zoinks,0.0
268,4254,1970,34,5 - Very High,rooby_rooby_roo,0.0
269,1842,1970,34,5 - Very High,just_about_wrapped_up,0.0
270,33,1970,34,5 - Very High,jeepers,0.0
271,636,1970,34,5 - Very High,jinkies,1.0
272,3652,1970,35,6 - Top Tier,scooby_doo_where_are_you,0.0
273,4255,1970,35,6 - Top Tier,rooby_rooby_roo,0.0
274,1843,1970,35,6 - Top Tier,just_about_wrapped_up,0.0
275,34,1970,35,6 - Top Tier,jeepers,0.0
276,2446,1970,35,6 - Top Tier,groovy,0.0
277,1240,1970,35,6 - Top Tier,my_glasses,0.0
278,637,1970,35,6 - Top Tier,jinkies,1.0
279,3049,1970,35,6 - Top Tier,zoinks,0.0
280,638,1970,36,5 - Very High,jinkies,0.0
281,3653,1970,36,5 - Very High,scooby_doo_where_are_you,0.0
282,35,1970,36,5 - Very High,jeepers,0.0
283,3050,1970,36,5 - Very High,zoinks,1.0
284,4256,1970,36,5 - Very High,rooby_rooby_roo,3.0
285,1844,1970,36,5 - Very High,just_about_wrapped_up,0.0
286,1241,1970,36,5 - Very High,my_glasses,0.0
287,2447,1970,36,5 - Very High,groovy,0.0
288,3051,1970,37,4 - High,zoinks,0.0
289,4257,1970,37,4 - High,rooby_rooby_roo,1.0
290,3654,1970,37,4 - High,scooby_doo_where_are_you,1.0
291,1845,1970,37,4 - High,just_about_wrapped_up,0.0
292,1242,1970,37,4 - High,my_glasses,0.0
293,36,1970,37,4 - High,jeepers,0.0
294,639,1970,37,4 - High,jinkies,1.0
295,2448,1970,37,4 - High,groovy,1.0
296,4258,1970,38,5 - Very High,rooby_rooby_roo,0.0
297,2449,1970,38,5 - Very High,groovy,0.0
298,37,1970,38,5 - Very High,jeepers,0.0
299,3655,1970,38,5 - Very High,scooby_doo_where_are_you,0.0
300,640,1970,38,5 - Very High,jinkies,1.0
301,1243,1970,38,5 - Very High,my_glasses,0.0
302,1846,1970,38,5 - Very High,just_about_wrapped_up,0.0
303,3052,1970,38,5 - Very High,zoinks,1.0
304,3053,1970,39,5 - Very High,zoinks,1.0
305,641,1970,39,5 - Very High,jinkies,0.0
306,2450,1970,39,5 - Very High,groovy,0.0
307,3656,1970,39,5 - Very High,scooby_doo_where_are_you,1.0
308,1244,1970,39,5 - Very High,my_glasses,0.0
309,4259,1970,39,5 - Very High,rooby_rooby_roo,0.0
310,1847,1970,39,5 - Very High,just_about_wrapped_up,0.0
311,38,1970,39,5 - Very High,jeepers,0.0
312,39,1970,40,4 - High,jeepers,1.0
313,1245,1970,40,4 - High,my_glasses,0.0
314,2451,1970,40,4 - High,groovy,0.0
315,642,1970,40,4 - High,jinkies,1.0
316,3657,1970,40,4 - High,scooby_doo_where_are_you,1.0
317,3054,1970,40,4 - High,zoinks,5.0
318,1848,1970,40,4 - High,just_about_wrapped_up,0.0
319,4260,1970,40,4 - High,rooby_rooby_roo,1.0
320,643,1970,41,5 - Very High,jinkies,0.0
321,3658,1970,41,5 - Very High,scooby_doo_where_are_you,0.0
322,1849,1970,41,5 - Very High,just_about_wrapped_up,0.0
323,40,1970,41,5 - Very High,jeepers,0.0
324,2452,1970,41,5 - Very High,groovy,0.0
325,4261,1970,41,5 - Very High,rooby_rooby_roo,0.0
326,1246,1970,41,5 - Very High,my_glasses,0.0
327,3055,1970,41,5 - Very High,zoinks,0.0
328,41,1970,42,4 - High,jeepers,0.0
329,644,1970,42,4 - High,jinkies,0.0
330,4262,1970,42,4 - High,rooby_rooby_roo,0.0
331,1247,1970,42,4 - High,my_glasses,0.0
332,3659,1970,42,4 - High,scooby_doo_where_are_you,0.0
333,3056,1970,42,4 - High,zoinks,0.0
334,2453,1970,42,4 - High,groovy,0.0
335,1850,1970,42,4 - High,just_about_wrapped_up,0.0
336,4263,1970,43,5 - Very High,rooby_rooby_roo,0.0
337,1851,1970,43,5 - Very High,just_about_wrapped_up,0.0
338,1248,1970,43,5 - Very High,my_glasses,0.0
339,3057,1970,43,5 - Very High,zoinks,0.0
340,3660,1970,43,5 - Very High,scooby_doo_where_are_you,0.0
341,42,1970,43,5 - Very High,jeepers,0.0
342,645,1970,43,5 - Very High,jinkies,1.0
343,2454,1970,43,5 - Very High,groovy,0.0
344,646,1970,44,5 - Very High,jinkies,1.0
345,3661,1970,44,5 - Very High,scooby_doo_where_are_you,0.0
346,43,1970,44,5 - Very High,jeepers,1.0
347,2455,1970,44,5 - Very High,groovy,0.0
348,4264,1970,44,5 - Very High,rooby_rooby_roo,2.0
349,1249,1970,44,5 - Very High,my_glasses,0.0
350,3058,1970,44,5 - Very High,zoinks,0.0
351,1852,1970,44,5 - Very High,just_about_wrapped_up,0.0
352,4265,1970,45,4 - High,rooby_rooby_roo,0.0
353,3059,1970,45,4 - High,zoinks,0.0
354,647,1970,45,4 - High,jinkies,0.0
355,3662,1970,45,4 - High,scooby_doo_where_are_you,0.0
356,2456,1970,45,4 - High,groovy,0.0
357,44,1970,45,4 - High,jeepers,0.0
358,1250,1970,45,4 - High,my_glasses,0.0
359,1853,1970,45,4 - High,just_about_wrapped_up,0.0
360,648,1970,46,5 - Very High,jinkies,2.0
361,3663,1970,46,5 - Very High,scooby_doo_where_are_you,0.0
362,3060,1970,46,5 - Very High,zoinks,0.0
363,45,1970,46,5 - Very High,jeepers,0.0
364,1251,1970,46,5 - Very High,my_glasses,0.0
