,index,rank,catchphrase,count
279,35,6 - Top Tier,Zoinks!,0.0
280,36,5 - Very High,Jinkies!,0.0
281,36,5 - Very High,Scooby Doo! Where are you?,0.0
282,36,5 - Very High,Jeepers!,0.0
283,36,5 - Very High,Zoinks!,1.0
284,36,5 - Very High,Rooby rooby roo!,3.0
285,36,5 - Very High,Just about wrapped up,0.0
286,36,5 - Very High,My glasses!,0.0
287,36,5 - Very High,Groovy,0.0
288,37,4 - High,Zoinks!,0.0
289,37,4 - High,Rooby rooby roo!,1.0
290,37,4 - High,Scooby Doo! Where are you?,1.0
291,37,4 - High,Just about wrapped up,0.0
292,37,4 - High,My glasses!,0.0
293,37,4 - High,Jeepers!,0.0
294,37,4 - High,Jinkies!,1.0
295,37,4 - High,Groovy,1.0
296,38,5 - Very High,Rooby rooby roo!,0.0
297,38,5 - Very High,Groovy,0.0
298,38,5 - Very High,Jeepers!,0.0
299,38,5 - Very High,Scooby Doo! Where are you?,0.0
300,38,5 - Very High,Jinkies!,1.0
301,38,5 - Very High,My glasses!,0.0
302,38,5 - Very High,Just about wrapped up,0.0
303,38,5 - Very High,Zoinks!,1.0
304,39,5 - Very High,Zoinks!,1.0
305,39,5 - Very High,Jinkies!,0.0
306,39,5 - Very High,Groovy,0.0
307,39,5 - Very High,Scooby Doo! Where are you?,1.0
308,39,5 - Very High,My glasses!,0.0
309,39,5 - Very High,Rooby rooby roo!,0.0
310,39,5 - Very High,Just about wrapped up,0.0
311,39,5 - Very High,Jeepers!,0.0
312,40,4 - High,Jeepers!,1.0
313,40,4 - High,My glasses!,0.0
314,40,4 - High,Groovy,0.0
315,40,4 - High,Jinkies!,1.0
316,40,4 - High,Scooby Doo! Where are you?,1.0
317,40,4 - High,Zoinks!,5.0
318,40,4 - High,Just about wrapped up,0.0
319,40,4 - High,Rooby rooby roo!,1.0
320,41,5 - Very High,Jinkies!,0.0
321,41,5 - Very High,Scooby Doo! Where are you?,0.0
322,41,5 - Very High,Just about wrapped up,0.0
323,41,5 - Very High,Jeepers!,0.0
324,41,5 - Very High,Groovy,0.0
325,41,5 - Very High,Rooby rooby roo!,0.0
326,41,5 - Very High,My glasses!,0.0
327,41,5 - Very High,Zoinks!,0.0
328,42,4 - High,Jeepers!,0.0
329,42,4 - High,Jinkies!,0.0
330,42,4 - High,Rooby rooby roo!,0.0
331,42,4 - High,My glasses!,0.0
332,42,4 - High,Scooby Doo! Where are you?,0.0
333,42,4 - High,Zoinks!,0.0
334,42,4 - High,Groovy,0.0
335,42,4 - High,Just about wrapped up,0.0
336,43,5 - Very High,Rooby rooby roo!,0.0
337,43,5 - Very High,Just about wrapped up,0.0
338,43,5 - Very High,My glasses!,0.0
339,43,5 - Very High,Zoinks!,0.0
340,43,5 - Very High,Scooby Doo! Where are you?,0.0
341,43,5 - Very High,Jeepers!,0.0
342,43,5 - Very High,Jinkies!,1.0
343,43,5 - Very High,Groovy,0.0
344,44,5 - Very High,Jinkies!,1.0
345,44,5 - Very High,Scooby Doo! Where are you?,0.0
346,44,5 - Very High,Jeepers!,1.0
347,44,5 - Very High,Groovy,0.0
348,44,5 - Very High,Rooby rooby roo!,2.0
349,44,5 - Very High,My glasses!,0.0
350,44,5 - Very High,Zoinks!,0.0
351,44,5 - Very High,Just about wrapped up,0.0
352,45,4 - High,Rooby rooby roo!,0.0
353,45,4 - High,Zoinks!,0.0
354,45,4 - High,Jinkies!,0.0
355,45,4 - High,Scooby Doo! Where are you?,0.0
356,45,4 - High,Groovy,0.0
357,45,4 - High,Jeepers!,0.0
358,45,4 - High,My glasses!,0.0
359,45,4 - High,Just about wrapped up,0.0
360,46,5 - Very High,Jinkies!,2.0
361,46,5 - Very High,Scooby Doo! Where are you?,0.0
362,46,5 - Very High,Zoinks!,0.0
363,46,5 - Very High,Jeepers!,0.0
364,46,5 - Very High,My glasses!,0.0
365,46,5 - Very High,Rooby rooby roo!,0.0
